Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
1990,199007,"蘿繽
(ROBYN)",---,"1990-07-09 10:40
1990-07-10 21:00",輕度,990,20,150,---,7
1990,199006,"波西
(PERCY)",---,"1990-06-26 16:00
1990-06-30 09:00",強烈,950,51,250,120,16
1990,199005,"歐菲莉
(OFELIA)",6,"1990-06-21 16:00
1990-06-24 15:10",中度,968,38,200,100,13
1990,199003,"瑪麗安
(MARIAN)",9,"1990-05-18 09:30
1990-05-19 14:50",中度,960,40,250,100,6
1989,198923,"安琪拉
(ANGELA)",---,"1989-10-05 09:30
1989-10-07 09:40",強烈,930,67,250,120,9
1989,198921,"薇拉
(VERA)",---,"1989-09-14 15:40
1989-09-15 20:30",輕度,985,25,200,---,6
1989,198919,"莎拉
(SARAH)",3,"1989-09-08 09:50
1989-09-13 20:30",強烈,952,51,300,150,23
1989,198913,"羅拉
(LOLA)",---,"1989-07-31 21:30
1989-08-03 09:10",輕度,980,28,250,---,11
1989,198909,"賀璞
(HOPE)",---,"1989-07-18 09:20
1989-07-19 15:00",輕度,990,25,150,---,6
1989,198908,"戈登
(GORDON)",---,"1989-07-15 09:35
1989-07-17 21:20",強烈,920,65,300,150,11
1989,198903,"白蘭黛
(BRENDA)",---,"1989-05-18 15:00
1989-05-20 14:35",中度,970,35,200,80,9
1988,198822,"魯碧
(RUBY)",---,"1988-10-25 16:00
1988-10-27 09:15",中度,916,48,300,150,8
1988,198821,"派特
(PAT)",---,"1988-10-19 15:50
1988-10-21 09:00",中度,968,38,200,50,8
1988,198820,"歐黛莎
(ODESSA)",---,"1988-10-12 15:50
1988-10-14 03:40",輕度,954,25,150,---,7
1988,198819,"尼爾森
(NELSON)",---,"1988-10-03 21:15
1988-10-06 03:40",強烈,898,63,300,120,10
1988,198817,"李尹
(LEE)",---,"1988-09-23 09:50
1988-09-24 09:45",輕度,984,28,150,50,5
1988,198816,"克蒂
(KIT)",---,"1988-09-21 10:15
1988-09-22 09:05",輕度,984,28,150,50,5
1988,198805,"華倫
(WARREN)",---,"1988-07-17 08:45
1988-07-19 21:00",強烈,927,55,250,120,11
1988,198802,"蘇珊
(SUSAN)",9,"1988-05-31 21:15
1988-06-02 20:55",中度,963,40,150,50,9
